gene_name,transcript_id
A1BG,ENST00000263100.8
A1CF,ENST00000373997.8
A2M,ENST00000318602.12
A2ML1,ENST00000299698.12
A3GALT2,ENST00000442999.3
A4GALT,ENST00000642412.2
A4GNT,ENST00000236709.4
AAAS,ENST00000209873.9
AACS,ENST00000316519.11
AADAC,ENST00000232892.12
AADACL2,ENST00000356517.4
AADACL3,ENST00000359318.8
AADACL4,ENST00000376221.2
AADAT,ENST00000337664.9
AAGAB,ENST00000261880.10
AAK1,ENST00000409085.9
AAMP,ENST00000248450.9
AANAT,ENST00000392492.8
AAR2,ENST00000320849.9
AARD,ENST00000378279.4
AARS1,ENST00000261772.13
AARS2,ENST00000244571.5
AARSD1,ENST00000427569.7
AASDH,ENST00000205214.11
AASDHPPT,ENST00000278618.9
AASS,ENST00000417368.7
AATF,ENST00000619387.5
AATK,ENST00000326724.9
ABAT,ENST00000268251.13
ABC7-42404400C24.1,ENST00000615923.4
ABCA1,ENST00000374736.8
ABCA12,ENST00000272895.12
ABCA13,ENST00000435803.6
ABCA2,ENST00000341511.11
ABCA3,ENST00000301732.10
ABCA4,ENST00000370225.4
ABCA5,ENST00000392676.8
ABCA6,ENST00000284425.7
ABCA7,ENST00000263094.11
ABCA8,ENST00000586539.6
ABCA9,ENST00000340001.9
ABCB1,ENST00000622132.5
ABCB10,ENST00000344517.5
ABCB11,ENST00000650372.1
ABCB4,ENST00000649586.2
ABCB5,ENST00000404938.7
ABCB6,ENST00000265316.9
ABCB7,ENST00000373394.8
ABCB8,ENST00000358849.9
ABCB9,ENST00000280560.13
ABCC1,ENST00000399410.8
ABCC10,ENST00000372530.9
ABCC11,ENST00000356608.7
ABCC2,ENST00000647814.1
ABCC3,ENST00000285238.13
ABCC4,ENST00000645237.2
ABCC5,ENST00000334444.11
ABCC6,ENST00000205557.12
ABCC8,ENST00000389817.8
ABCD1,ENST00000218104.6
ABCD2,ENST00000308666.4
ABCD3,ENST00000370214.9
ABCD4,ENST00000356924.9
ABCE1,ENST00000296577.9
ABCF1,ENST00000326195.13
ABCF2,ENST00000287844.7
ABCG1,ENST00000398449.8
ABCG2,ENST00000237612.8
ABCG4,ENST00000619701.5
ABCG5,ENST00000405322.8
ABCG8,ENST00000272286.4
ABHD1,ENST00000316470.9
ABHD10,ENST00000273359.8
ABHD11,ENST00000222800.8
ABHD12,ENST00000339157.10
ABHD12B,ENST00000337334.7
ABHD13,ENST00000375898.4
ABHD14A,ENST00000273596.8
ABHD14B,ENST00000361143.10
ABHD15,ENST00000307201.5
ABHD16A,ENST00000395952.8
ABHD16B,ENST00000369916.5
ABHD17A,ENST00000292577.12
ABHD17B,ENST00000333421.7
ABHD17C,ENST00000258884.5
ABHD18,ENST00000645843.2
ABHD2,ENST00000352732.10
ABHD3,ENST00000289119.7
ABHD5,ENST00000644371.2
ABHD6,ENST00000478253.6
ABHD8,ENST00000247706.4
ABI1,ENST00000376140.4
ABI2,ENST00000261018.12
ABI3,ENST00000225941.6
ABI3BP,ENST00000471714.6
ABITRAM,ENST00000322940.11
ABL1,ENST00000318560.6
ABL2,ENST00000502732.6
ABLIM2,ENST00000447017.7
ABLIM3,ENST00000309868.12
ABR,ENST00000302538.10
ABRA,ENST00000311955.4
ABRACL,ENST00000367660.4
ABRAXAS1,ENST00000321945.12
ABRAXAS2,ENST00000298492.6
ABT1,ENST00000274849.3
ABTB1,ENST00000232744.13
ABTB2,ENST00000435224.3
AC005281.1,ENST00000636804.2
ACAA1,ENST00000333167.13
ACAA2,ENST00000285093.15
ACACA,ENST00000616317.5
ACAD10,ENST00000313698.9
ACAD11,ENST00000264990.11
ACAD8,ENST00000281182.9
ACAD9,ENST00000308982.12
ACADL,ENST00000233710.4
ACADM,ENST00000370841.9
ACADS,ENST00000242592.9
ACADSB,ENST00000358776.7
ACADVL,ENST00000356839.10
ACAN,ENST00000560601.4
ACAP1,ENST00000158762.8
ACAP2,ENST00000326793.11
ACAP3,ENST00000354700.10
ACAT1,ENST00000265838.9
ACAT2,ENST00000367048.5
ACBD3,ENST00000366812.6
ACBD4,ENST00000321854.13
ACBD5,ENST00000396271.8
ACBD6,ENST00000367595.4
ACBD7,ENST00000356189.6
ACCS,ENST00000263776.9
ACCSL,ENST00000378832.1
ACD,ENST00000620761.6
ACE,ENST00000290866.10
ACE2,ENST00000252519.8
ACER1,ENST00000301452.5
ACER2,ENST00000340967.3
ACER3,ENST00000532485.6
ACHE,ENST00000241069.11
ACIN1,ENST00000605057.6
ACKR1,ENST00000368122.4
ACKR2,ENST00000422265.6
ACKR3,ENST00000272928.4
ACKR4,ENST00000249887.3
ACLY,ENST00000352035.7
ACMSD,ENST00000356140.10
ACO1,ENST00000309951.8
ACO2,ENST00000216254.9
ACOD1,ENST00000377462.6
ACOT1,ENST00000311148.9
ACOT11,ENST00000343744.7
ACOT12,ENST00000307624.8
ACOT13,ENST00000230048.5
