gene_name,transcript_id
OR4F5,ENST00000641515.2
OR4F29,ENST00000426406.4
SAMD11,ENST00000616016.5
NOC2L,ENST00000327044.7
KLHL17,ENST00000338591.8
PLEKHN1,ENST00000379410.8
HES4,ENST00000304952.11
ISG15,ENST00000649529.1
AGRN,ENST00000379370.7
RNF223,ENST00000453464.3
C1orf159,ENST00000421241.7
TTLL10,ENST00000379289.6
TNFRSF18,ENST00000379268.7
TNFRSF4,ENST00000379236.4
SDF4,ENST00000360001.12
B3GALT6,ENST00000379198.5
C1QTNF12,ENST00000330388.2
UBE2J2,ENST00000349431.11
SCNN1D,ENST00000379116.10
ACAP3,ENST00000354700.10
PUSL1,ENST00000379031.10
INTS11,ENST00000435064.6
CPTP,ENST00000343938.9
TAS1R3,ENST00000339381.6
DVL1,ENST00000378888.10
MXRA8,ENST00000309212.11
CCNL2,ENST00000400809.8
MRPL20,ENST00000344843.12
ANKRD65,ENST00000537107.6
TMEM88B,ENST00000378821.4
VWA1,ENST00000476993.2
ATAD3C,ENST00000378785.7
ATAD3B,ENST00000673477.1
ATAD3A,ENST00000378756.8
TMEM240,ENST00000378733.9
SSU72,ENST00000291386.4
FNDC10,ENST00000422725.4
MIB2,ENST00000355826.10
MMP23B,ENST00000356026.10
CDK11B,ENST00000341832.11
SLC35E2B,ENST00000617444.5
CDK11A,ENST00000404249.8
NADK,ENST00000341426.9
GNB1,ENST00000378609.9
CALML6,ENST00000307786.8
TMEM52,ENST00000310991.8
GABRD,ENST00000378585.7
PRKCZ,ENST00000378567.8
FAAP20,ENST00000378546.9
SKI,ENST00000378536.5
MORN1,ENST00000378531.8
RER1,ENST00000605895.6
PEX10,ENST00000447513.7
PLCH2,ENST00000378486.8
PANK4,ENST00000378466.9
HES5,ENST00000378453.4
TNFRSF14,ENST00000355716.5
PRXL2B,ENST00000419916.8
MMEL1,ENST00000378412.8
ACTRT2,ENST00000378404.4
PRDM16,ENST00000270722.10
ARHGEF16,ENST00000378378.9
MEGF6,ENST00000356575.9
TPRG1L,ENST00000378344.7
WRAP73,ENST00000270708.12
TP73,ENST00000378295.9
CCDC27,ENST00000294600.7
SMIM1,ENST00000642557.4
LRRC47,ENST00000378251.3
CEP104,ENST00000378230.8
DFFB,ENST00000378209.8
C1orf174,ENST00000361605.4
AJAP1,ENST00000378191.5
NPHP4,ENST00000378156.9
CHD5,ENST00000262450.8
RPL22,ENST00000234875.9
RNF207,ENST00000377939.5
ICMT,ENST00000343813.10
HES3,ENST00000377898.4
GPR153,ENST00000377893.3
ACOT7,ENST00000361521.9
HES2,ENST00000377834.8
ESPN,ENST00000645284.1
TNFRSF25,ENST00000356876.8
PLEKHG5,ENST00000377728.8
NOL9,ENST00000377705.6
TAS1R1,ENST00000333172.11
ZBTB48,ENST00000377674.9
KLHL21,ENST00000377658.8
PHF13,ENST00000377648.5
DNAJC11,ENST00000377577.10
CAMTA1,ENST00000303635.12
VAMP3,ENST00000054666.11
PER3,ENST00000377532.8
UTS2,ENST00000361696.10
TNFRSF9,ENST00000377507.8
PARK7,ENST00000338639.10
ERRFI1,ENST00000377482.10
SLC45A1,ENST00000471889.7
RERE,ENST00000400908.7
ENO1,ENST00000234590.10
CA6,ENST00000377443.7
SLC2A7,ENST00000400906.2
SLC2A5,ENST00000377424.9
GPR157,ENST00000377411.5
H6PD,ENST00000377403.7
SPSB1,ENST00000328089.11
SLC25A33,ENST00000302692.7
TMEM201,ENST00000340381.11
PIK3CD,ENST00000377346.9
CLSTN1,ENST00000377298.9
CTNNBIP1,ENST00000377263.6
LZIC,ENST00000377223.6
NMNAT1,ENST00000377205.6
RBP7,ENST00000294435.8
UBE4B,ENST00000343090.11
KIF1B,ENST00000676179.1
PGD,ENST00000270776.13
CENPS,ENST00000309048.8
CORT,ENST00000377049.4
DFFA,ENST00000377038.8
PEX14,ENST00000356607.9
