"","loci.group_name","loci.value","starts.value","ends.value"
"1","ENST00000416177","7",87600116,87600136
"2","ENST00000416177","7",87595813,87595814
"3","ENST00000265724","7",87600116,87600136
"4","ENST00000265724","7",87595813,87595814
"5","ENST00000622132","7",87600116,87600136
"6","ENST00000622132","7",87595813,87595814
"7","ENST00000543898","7",87600116,87600136
"8","ENST00000543898","7",87595813,87595814
"9","ENST00000265724","7",87600856,87600877
"10","ENST00000622132","7",87600856,87600877
"11","ENST00000543898","7",87600856,87600877
"12","ENST00000476862","7",87600856,87600877
"13","ENST00000416177","7",87600144,87600164
"14","ENST00000265724","7",87600144,87600164
"15","ENST00000622132","7",87600144,87600164
"16","ENST00000543898","7",87600144,87600164
"17","ENST00000416177","7",87600802,87600822
"18","ENST00000265724","7",87600802,87600822
"19","ENST00000622132","7",87600802,87600822
"20","ENST00000543898","7",87600802,87600822
"21","ENST00000265724","7",87600858,87600879
"22","ENST00000622132","7",87600858,87600879
"23","ENST00000543898","7",87600858,87600879
"24","ENST00000476862","7",87600858,87600879
"25","ENST00000416177","7",87595777,87595796
"26","ENST00000265724","7",87595777,87595796
"27","ENST00000622132","7",87595777,87595796
"28","ENST00000543898","7",87595777,87595796
"29","ENST00000416177","7",87600754,87600771
"30","ENST00000416177","7",87600187,87600190
"31","ENST00000265724","7",87600754,87600771
"32","ENST00000265724","7",87600187,87600190
"33","ENST00000622132","7",87600754,87600771
"34","ENST00000622132","7",87600187,87600190
"35","ENST00000543898","7",87600754,87600771
"36","ENST00000543898","7",87600187,87600190
"37","ENST00000416177","7",87600161,87600181
"38","ENST00000265724","7",87600161,87600181
"39","ENST00000622132","7",87600161,87600181
"40","ENST00000543898","7",87600161,87600181
"41","ENST00000416177","7",87600164,87600184
"42","ENST00000265724","7",87600164,87600184
"43","ENST00000622132","7",87600164,87600184
"44","ENST00000543898","7",87600164,87600184
"45","ENST00000416177","7",87600117,87600138
"46","ENST00000265724","7",87600117,87600138
"47","ENST00000622132","7",87600117,87600138
"48","ENST00000543898","7",87600117,87600138
"49","ENST00000416177","7",87600805,87600825
"50","ENST00000265724","7",87600805,87600825
"51","ENST00000622132","7",87600805,87600825
"52","ENST00000543898","7",87600805,87600825
"53","ENST00000622828","CHR_HSCHR16_1_CTG1",16034690,16034710
"54","ENST00000399408","16",15949577,15949597
"55","ENST00000572882","16",16141473,16141493
"56","ENST00000621144","CHR_HSCHR16_1_CTG1",16226507,16226527
"57","ENST00000399410","16",16141434,16141454
"58","ENST00000622828","CHR_HSCHR16_1_CTG1",16226507,16226527
"59","ENST00000621659","CHR_HSCHR16_1_CTG1",16226507,16226527
"60","ENST00000399408","16",16141473,16141493
"61","ENST00000572882","16",16115013,16115033
"62","ENST00000574761","16",16115013,16115033
"63","ENST00000632338","CHR_HSCHR16_1_CTG1",16200021,16200041
"64","ENST00000621144","CHR_HSCHR16_1_CTG1",16200021,16200041
"65","ENST00000572053","16",16115013,16115033
"66","ENST00000399410","16",16114974,16114994
"67","ENST00000622828","CHR_HSCHR16_1_CTG1",16200021,16200041
"68","ENST00000621659","CHR_HSCHR16_1_CTG1",16200021,16200041
"69","ENST00000399408","16",16115013,16115033
"70","ENST00000621144","CHR_HSCHR16_1_CTG1",16034894,16034914
"71","ENST00000399410","16",15949730,15949750
